w1,w2,w3,w4,color,connection
chowder,doodlebug,labubu,pitter-patter,3,starting with familiar names for kinds of dogs
garage,house,porch,shed,0,home structures
acid,commune,free love,hippie,1,associated with 1960s counterculture
french,green,industrial,sexual,2,famous revolutions in history
air quotes,bunny ears,fingers crossed,peace,3,gestures made with the index and middle fingers
extrasensory,mental,psychic,telepathic,0,clairvoyant
ballet,musical,opera,play,1,staged performances
education,interior,state,treasury,2,u.s. cabinet departments
globetrotter,heraldry,post-it,times tables,3,starting with newspaper names
buff,polish,shine,wax,0,make glossy
ale,amber,citrine,honey,1,transluscent golden things
beak,comb,crest,wattle,2,features of a bird's head
hive,mix,pour,wight,3,numbers with first letter changed
alarm,disturb,shake,shock,0,unnerve
check,cross,mark,tick,1,"remove, as an item from a list, with ""off"""
tesla,time,true,tyrannosaurus,2,"what ""t"" might stand for"
hour,hur,there,yore,3,homophones of possessive adjectives
level,phase,round,stage,0,step in a process
boom,clap,roll,rumble,1,sound like thunder
hand,shadow,sock,string,2,kinds of puppets
joke,orders,ovation,room,3,standing ___
appeal,bid,call,request,0,entreaty
dry,fold,sort,wash,1,laundry day verbs
check,coupon,match,stamp,2,"things that come in ""books"""
dial,flower,screen,tan,3,sun___
ranch dressing,red onion,roasted chicken,romaine lettuce,0,salad ingredients
rain man,rear window,reservoir dogs,roman holiday,1,classic films
radioactive man,ralph wiggum,reverend lovejoy,rod flanders,2,"""the simpsons"" characters"
raging bull,regina king,roe buck,rotary clipper,3,ending in nba players
catch,caveat,fine print,strings,0,stipulation
pitch,range,register,tone,1,vocal characteristics
dick,jane,mother,spot,2,"characters in ""dick and jane"""
building,cliff,clock,polyhedron,3,things with faces
enamel,hair,nail,skin,0,body coverings
crowd,haystack,million,ocean,1,"masses, in idioms"
copper,dick,flatfoot,gumshoe,2,old timey slang for law enforcement
cast iron,chuck e. cheese,hurly-burly,pitchfork,3,"starting with synonyms for ""throw"""
cheese,dough,pepperoni,tomato sauce,0,pizza ingredients
arms,ink,intelligence,suction cups,1,associated with octopuses
grass,helicopter,ice skates,lawn mower,2,they have blades
cabin,calloway,red wine,taxi,3,"what ""cab"" might refer to"
flank,neighbor,skirt,touch,0,border
historical,literary,pulp,science,1,kinds of fiction
educated,mother,my,very,2,words in a planetary mnemonic
asiago,devote,totoro,whammy,3,starting with four-letter '80s bands
clay,glaze,kiln,wheel,0,pottery equipment
deck,punch,slug,sock,1,wallop
herb,nice,polish,reading,2,words pronounced different ways as proper nouns
artist,game,sticks,truck,3,pick-up ___
breeze,mosey,stroll,waltz,0,amble (in)
baloney,bilge,bull,bunk,1,balderdash
crossbody,hobo,messenger,saddle,2,kinds of bags
gold,moon,octopus,thunder,3,starts of one-word james bond movie titles
billow,cloud,plume,puff,0,mass of smoke
bait,hook,net,rod,1,fishing gear
cannibalism,hourglass,venom,web,2,associated with black widow spiders
blue,cyber,manic,meatless,3,___ monday
arch,fresh,sassy,wise,0,cheeky
bust,hips,length,waist,1,dress measurements
flop,hole,river,turn,2,cards in texas hold 'em
cap,dud,kid,mint,3,last words of candy brands in the singular
goggle,marvel,stare,wonder,0,look at with awe
ac,dc,power,voltage,1,basic electricity terms
dark horse,long shot,sleeper,underdog,2,unexpected winner
crushworthy,fantagraphics,frescade,pepsinogen,3,starting with soda brands
bulb,leaf,root,stem,0,vegetable parts
common,dominant,general,popular,1,prevailing
hammer,key,pedal,string,2,parts of a piano
soda,stormy,tan,tonic,3,"words after ""and"" in drink names"
needle,rib,ride,roast,0,tease
auto,cool,fan,heat,1,thermostat settings
bodysuit,claws,mask,whip,2,features of a catwoman costume
bra,camp,day,wheels,3,training ___
cap,diploma,gown,tassel,0,graduation gear
chore,grind,hassle,trial,1,tedious undertaking
facile,flip,shallow,trite,2,oversimplistic
castle,crown,horse,miter,3,shapes of chess pieces
bookmark,cache,cookie,history,0,things stored by a browser
bell,gloves,ring,round,1,boxing terms
lean,list,pitch,tip,2,tilt
lance,mason,style,way,3,free___
box office,marquee,ticket line,velvet rope,0,seen outside a theater
cape,handkerchief,magic wand,rabbit,1,accessories for a magician
house,lasso,montana,soprano,2,tv show title surnames
baseball player,camera lens,mushroom,pen,3,they have caps
belt loop,cuff,fly,pocket,0,pants features
angle,position,stance,take,1,perspective
cast,project,radiate,shed,2,emit
paper,rag,russian,troll,3,___ doll
ice scraper,jack,jumper cables,spare tire,0,found in the trunk of a car
angel,champion,patron,sponsor,1,benefactor
beam,brace,column,strut,2,structural supports
bombay,chelsea,screwdriver,snowflake,3,ending in bodies of water
bell pepper,carolina reaper,chipotle,pepperoncino,0,peppers
ejector seat,jack-in-the-box,pop-up book,toaster,1,things that pop up
firm,holey,nutty,swiss,2,descriptors for swiss cheese
blue,genie,gonzo,sonic,3,blue characters
blue,dark,down,low,0,gloomy
balm,cream,paste,rub,1,ointment
archer,fish,goat,ram,2,zodiac symbols
jack,rip,shred,yoke,3,"muscular, minus ""ed"" sound"
associate,colleague,fellow,peer,0,cohort member
design,look,scheme,style,1,aesthetic
monkey,parallel,pull-up,uneven,2,kinds of bar apparatuses
contact,goggle,shade,spectacle,3,eyewear in the singular
battle,clash,contest,match,0,competition
down,game,in,willing,1,on board
another,either,neither,one,2,words for unspecified choices
after,low,night,wild,3,___life
ball,hoedown,hop,rave,0,events with dancing
claim,concern,share,stake,1,interest
holes,mallet,mole,timer,2,components of whac-a-mole
carouser,evite,olives,wicket,3,musicals with last letter changed
electron,nucleus,orbit,shell,0,atomic structure terms
deerstalker,magnifying glass,pipe,violin,1,parts of a sherlock holmes costume
coin,light switch,pancake,the bird,2,things to flip
googol,mushroom,pasteurize,pulpit,3,"starting with synonyms for ""slush"""
dogs,let,lie,sleeping,0,"""let sleeping dogs lie"""
cover,mask,screen,shield,1,obscure
bluff,cape,point,spit,2,coastal landforms
band,base,boot,summer,3,___ camp
mean,petty,small,snide,0,catty
jones,long,lust,thirst,1,hanker (for)
collins,hurricane,rocks,zombie,2,cocktail glasses
cruise,damage,ground,mission,3,___ control
back,champion,endorse,second,0,support
chance,moment,opening,window,1,opportunity
buck,drake,drone,stallion,2,male animals
cardi,eater,meson,migos,3,ends of liquor brands
,,,,0,beer brands
,,,,1,rock bands
,,,,2,movies
,,,,3,u.s. city nicknames
absence,crunch,deficit,pinch,0,shortage
cannon,crow's nest,jolly roger,plank,1,parts of a pirate ship
plunge,push-up,sports,wireless,2,kinds of bras
calf raise,chick flick,fry cook,kit kat,3,starting with baby animals
dummy,ersatz,faux,mock,0,imitation
futz,mess,tinker,toy,1,play around (with)
avis,budget,dollar,hertz,2,car rental companies
fritz,plays,truffles,yutz,3,snack brands plus starting letter
graffiti,mural,poster,stencil,0,images seen on the street
hustle,mashed potato,robot,twist,1,retro dance crazes
corps,coup,psycho,receipt,2,"silent ""p"""
beauty,check,question,stretch,3,___ mark
board,embark,enter,mount,0,"step onto, as a vehicle"
acceleration,force,mass,momentum,1,quantities in mechanics
figure,illustration,picture,plate,2,textbook images
face,pitcher,power,robert,3,___ plant
basic facts,bottom line,brass tacks,nitty-gritty,0,what it all boils down to
baggage claim,duty-free,food court,ticket counter,1,features of an airport terminal
goldfish cracker,monarch butterfly,the lorax,traffic cone,2,things that are orange
lip service,monkey bars,turn signal,wedding reception,3,ending in words for cellular connectivity
agriculture,fishing,gathering,hunting,0,food procurement methods
lion,piston,red wing,tiger,1,member of a detroit sports team
ballot,booth,curtain,lever,2,features of a classic voting booth
frankenstein's monster,hardware store,lightning,lock,3,they have bolts
blur,cloud,muddy,obscure,0,obfuscate
fortune,people,spin,time,1,magazines
cash,charge,check,wire,2,payment methods
cur,gallop,ping,quark,3,units of volume with last letter changed
base,low,mean,vile,0,despicable
cake,kiss,ring,vow,1,features of a wedding
dump,fire,food,tow,2,kinds of trucks
bow,row,sow,wind,3,heteronyms
decent,honest,moral,stand-up,0,principled
light bulb,printing press,sliced bread,wheel,1,game-changing inventions
mary,mocktail,olive oil,virgo,2,"""virgin"" things"
brain stew,broccoli rabe,jungle gym,open mic,3,ending in nickname homophones
chair,head,lead,run,0,oversee
frame,image,shot,still,1,picture taken from a film
bar,bench,rack,weights,2,components of a weightlifting setup
channel,couch,crowd,kite,3,___ surf
blunt,frank,plain,straight,0,direct
goal,mark,object,point,1,target
capture,crown,jump,king,2,checkers terms
bishop,frost,pound,rich,3,20th century american poets
alarm,concern,rattle,shake,0,disturb
boardwalk,chance,luxury,parking,1,words on a monopoly board
fate,fury,muse,siren,2,figure in greek myth
carton,noodle,roll,timer,3,egg ___
chicken little,frog prince,gingerbread man,goldilocks,0,folk tale characters
evil eye,four-leaf clover,horseshoe,rabbit's foot,1,good luck symbols
chameleon,mood ring,sunset,traffic light,2,things that change color
baby blues,pet rock,scrap metal,soda pop,3,ending in music genres
patch,period,spell,stretch,0,interval
curse,hop,wince,yell,1,react to a stubbed toe
delay,reverb,wah,whammy,2,guitar effects pedals
blank,coat,rain,reality,3,___ check
bind,hot water,jam,pickle,0,metaphors for trouble
key,pitch,scale,tone,1,music theory concepts
balloon,kite,tea bag,yo-yo,2,things with strings
arrow,lightning,rocket,wind,3,metaphors for quickness
gaggle,pack,pod,pride,0,animal group names
glacier,molasses,sloth,traffic,1,things associated with being slow
cartwright,two,wrath,wrestle,2,"silent ""w"""
any,emmy,envy,okay,3,words that sound like state abbreviations
bogart,corner,hog,monopolize,0,greedily control
cog,gear,pinion,sprocket,1,toothed wheels
blog,motel,smog,spork,2,portmanteaux
dog,doze,frog,horn,3,bull___
dream,haze,spell,trance,0,hypnotic state
binary,dioxide,duolingo,twilight,1,"starting with prefixes meaning ""two"""
clouseau,gadget,javert,morse,2,fictional inspectors
hootenanny,lichen,moscow,nightmare,3,ending in female animals
later,nah,next time,pass,0,"""no thanks"""
even,irrational,perfect,prime,1,kinds of numbers
berlin,brick,fourth,great,2,kinds of walls
awl,nun,phew,sum,3,homophones of non-numeric amounts
bunker,desert,hourglass,sandbox,0,places to find sand
metronome,pendulum,swing,windshield wiper,1,things that move back and forth
barre,reformer,spin,step,2,apparatus-based exercise classes
cuckoo clock,froot loops,mexican flag,weather vane,3,featuring birds
lift,palm,pinch,pocket,0,steal
dress,jazz,spiff,spruce,1,"make nicer, with ""up"""
ice cream,pine,snow,traffic,2,kinds of cones
hee,mi,oui,yew,3,pronoun homophones
brown,roast,sear,toast,0,cook with dry heat
cuz,gram,pop,unc,1,familial nicknames
mass,miss,penn,wash,2,u.s. state abbreviations
box,duke,slug,sock,3,punch
warehouse,wearable,werewolf,wherefore,0,"starting with the same sound, spelled differently"
fishbowl,hot seat,microscope,spotlight,1,metaphors for public scrutiny
animal,beaker,fozzie,gonzo,2,muppets
company,e street band,mafia,video game,3,they feature a boss
lima,nice,osaka,phoenix,0,cities
eye,refer,rotator,seles,1,palindromes
gremlin,jaw,sinner,tremor,2,"horror movies minus ""s"""
jacket,nadal,squatter,zipper,3,starting with slang for zero
buck,dollar,one,single,0,$1
art,romeo,thou,wherefore,1,"""wherefore art thou romeo?"""
bouncy,new,sand,white,2,"words before ""castle"""
,airport,dating app,internet cafe,3,where you might make a connection
leech,mooch,parasite,sponge,0,freeloader
blanket,cloak,curtain,layer,1,concealing cover
hash,number,pound,sharp,2,ways one might refer to #
faculty,marble,sense,wit,3,"words for lucidity, in the singular"
bolt,nut,screw,washer,0,bits of hardware
incubator,lab,sandbox,test bed,1,places where ideas are developed
alternate,seesaw,switch,toggle,2,go back and forth
below,hero,replacement,submarine,3,"what ""sub"" might refer to"
hound,shadow,tail,track,0,pursue
fair,honest,sporting,square,1,sportsmanlike
bike,book,toy,video game,2,classic kid gifts
gone,gossip,new,working,3,"""___ girl"" titles"
apple,brother,dipper,mac,0,"""big"" things"
abut,flank,neighbor,touch,1,be adjacent to
hanger,hook,rod,shelf,2,seen in a closet
brisket,fastidious,fleetwood,quicksand,3,"starting with synonyms for ""speedy"""
beam,horse,rings,vault,0,gymnastics apparatus
position,rank,standing,station,1,status
ball,foul,safe,strike,2,baseball calls
funky,popcorn,rubber,spring,3,___ chicken
canapé,finger food,hors d'oeuvre,tapa,0,little bite
hard hat,ladder,nail gun,tool belt,1,construction equipment
airplane,luggage,palm tree,smiling face with sunglasses,2,vacation emoji
copypasta,johannesburger,knuckle sandwich,licorice pizza,3,things you don't eat that end in foods
desire,itch,thirst,urge,0,craving
cruise director,pilot,roadie,salesman,1,jobs that involve traveling
earnest,kneel,rustle,tailor,2,name homophones
cometh,novak,start,sung,3,astronomical terms plus a letter
judas,snake,traitor,turncoat,0,backstabber
air,impression,manner,quality,1,aura
butterfly,domino,ripple,snowball,2,"kinds of chain reaction ""effects"""
bench,drill,french,printing,3,___ press
crossroads,landmark,milestone,watershed,0,pivotal point
grasshopper,shamrock,statue of liberty,wasabi,1,green things
callback,punchline,setup,timing,2,elements of joke-telling
attention,check,drumroll,pretty,3,"""___ please"""
baby,foster,mother,nurse,0,care for
basic,key,primary,principal,1,elementary
brown,cook,dean,harden,2,jameses
alkaline,declan,diatribe,napkin,3,ending in family words
bones,coral,shells,teeth,0,calcium-based structures
bagpipes,scottie,tartan,thistle,1,symbols of scotland
chekhov,coward,miller,shaw,2,famous playwrights
balance,jim,laser,tractor,3,___ beam
bolt,gorge,inhale,scarf,0,eat voraciously
christmas tree,cone,party hat,volcano,1,conical things
bluff,front,masquerade,posture,2,pose
blarney stone,mistletoe,new year's eve,wedding,3,settings for a kiss
black sheep,misfit,outcast,reject,0,one who doesn't fit in
distinguished,flecked,salt-and-pepper,silver,1,descriptors for graying hair
blondie,bloom county,peanuts,the far side,2,classic comic strips
big stick,bull moose,rough riders,teddy bear,3,associated with theodore roosevelt
background,history,life,past,0,experience
absent,excused,late,present,1,attendance status
great,perfect,phew,solid,2,commentary about your connections results
audits,dodgers,infinitive,minion,3,car brands plus two letters
easy answer,magic wand,panacea,silver bullet,0,quick fix
eclipse,green cheese,tide,werewolf,1,associated with the moon
boot,iron,thimble,top hat,2,original monopoly tokens
cheese,donkey,playing card,socket,3,"what ""jack"" might refer to"
basket,dye,eggs,peeps,0,easter supplies
bellows,poker,shovel,tongs,1,fireplace accessories
disco,john travolta,platform shoes,polyester suit,2,"elements of ""saturday night fever"""
boyle,brays,seer,stu,3,homophones of ways to cook something
crimp,curl,feather,tease,0,retro hair directives
bad,fly,rad,wicked,1,retro slang for cool
bantam,crested,free-range,leghorn,2,chicken descriptors
heavy,shaving,sour,topical,3,___ cream
dart,flash,speed,zip,0,zoom
hoisin,oyster,plum,soy,1,sauces in chinese cuisine
flip,leaf,skim,thumb,2,riffle (through)
bombay,bustle,floppy,missus,3,"starting with synonyms for ""dud"""
hoot,laugh,riot,scream,0,knee slapper
do,doe,doh,dough,1,homophones
buck,cackle,cluck,squawk,2,sounds a chicken makes
fawn,fight,flight,freeze,3,stress responses
atlas,dictionary,encyclopedia,thesaurus,0,reference books
echo,reminder,trace,vestige,1,something that brings back memories
electra,inferiority,oedipus,superiority,2,kinds of complexes
buzzard,calliope,dialect,ringmaster,3,starting with ways to reach someone via phone
hike,jump,rise,spike,0,uptick
bump,hump,lump,mound,1,protuberance
gump,phillips,sully,woody,2,tom hanks roles
breath,junior,pepper,spear,3,"words before ""mint"""
pure,sheer,stark,utter,0,downright
banner,colors,flag,standard,1,pennant
camel,kent,parliament,salem,2,cigarette brands
lesson,reseed,sync,wayne,3,homophones of ways to get smaller
form,make,mold,produce,0,construct
fast,firm,frozen,tight,1,fixed in place
a,card,jay,yank,2,"mlb player, for short"
dairy,dancing,drag,may,3,___ queen
moon,pine,swoon,yearn,0,act lovestruck
gain,net,return,yield,1,earnings
block,brick,cake,puck,2,compact mass
bag,coaster,derby,rink,3,roller ___
convention,exposition,fair,show,0,exhibition
deejay,emcee,kayo,okay,1,words spelling out initialisms
commentary,interview,outtakes,trailer,2,dvd bonus features
hubbub,rimshot,spokesperson,tiresome,3,starting with parts of a wheel
loom,needle,scissors,yarn,0,used in weaving
approach,manner,style,way,1,method
advance,bonus,fee,royalty,2,kinds of payment for an author
near,poker,straws,the line,3,draw ___
gag,inhibit,muzzle,silence,0,suppress
drill,grind,habit,routine,1,same old stuff
length,number,symbol,uppercase,2,features of a strong password
bit,cents,faced,timer,3,"words after ""two"""
,,,,0,pips on a die
,,,,1,symbols used in arithmetic
,,,,2,punctuation marks
,,,,3,lowercase letters
cup,lid,stirrer,straw,0,items at a coffee station
candy cane,crosswalk,referee,tiger,1,things with stripes
butter,dragon,fire,horse,2,"words before ""fly"" in insect names"
chow,hay,high,yeoh,3,homophones of greetings
american flag,apple pie,bald eagle,baseball,0,cultural symbols of the u.s.
bump,butt,knock,ram,1,collide with
jeans,lapis lazuli,ocean,sky,2,blue things
ang,bruce,christopher,spike,3,lees of hollywood
conflict,discord,friction,rivalry,0,contention
bingo,craps,lottery,war,1,games of chance
approx,bout,like,round,2,"more or less, colloquially"
bullseye,heated,magical,netscape,3,starting with nba teams
cube,dice,hash,mince,0,cut into pieces
board,house,lodge,quarter,1,provide with a place to stay
iron,putter,wedge,wood,2,kinds of golf clubs
card,foam,hole,lane,3,memory ___
interval,period,span,stretch,0,duration
lanyard,pass,stamp,wristband,1,credentials for entry
bosch,cross,reacher,ryan,2,modern crime series protagonists
fair,marple,popular,psalm,3,trees plus a letter
boost,hype,pitch,plug,0,publicize
clog,flat,mule,wedge,1,kinds of shoes
banger,bop,heater,jam,2,anthem
glute,morgan,sharp,thorn,3,musical instruments plus starting letter
ball,mixer,reception,shower,0,kinds of parties
brush,palette knife,roller,spray can,1,ways to apply paint
slingshot,stethoscope,tuning fork,wishbone,2,y-shaped things
computer key,dress,fluctuation,work period,3,"what ""shift"" might refer to"
area,cluster,patch,pocket,0,region
comb,compact,nail file,tweezers,1,grooming items
band-aid,lint roller,sticker,tape,2,things with adhesive surfaces
helping,minute,poker,upper,3,___ hand
bronzer,foundation,liner,stain,0,makeup
bear,bed,goldilocks,porridge,1,featured in goldilocks and the three bears
fiberglass,silverstein,smug,stumbler,2,ending with drinking vessels
gorey,grimm,grizzly,scarry,3,"homophones of words meaning ""brutal"""
dummy,mock,pretend,sham,0,imitation
bucket,gloves,rag,soap,1,cleaning supplies
motor,needle,platter,tonearm,2,components of a record player
me,rib,time,tire,3,spare ___
card,character,cutup,joker,0,quite the laugh
devil,flyer,penguin,ranger,1,nhl team member
friar,maid,robin,sheriff,2,first words of robin hood character names
ballroom,basement,batmobile,capstone,3,starting with baseball gear
drain,fleece,milk,squeeze,0,exploit
buffalo,cow,rattle,ruffle,1,daunt
close,field,foster,weaver,2,iconic actresses
badge,goa,moos,rabbi,3,mammals minus last letter
cover,fill in,sub,temp,0,act as a backup
alt,enter,menu,windows,1,pc keyboard keys
bowtie,ribbon,shell,tube,2,pasta shapes
ate,dom,hood,ship,3,suffixes
gloves,mouthguard,robe,shorts,0,gear for a boxer
award,crown,cup,title,1,championship
boat,crew,halter,scoop,2,kinds of necklines
cone,globe,leopard,pea,3,snow ___
cheek,eye,lip,temple,0,facial features
garage,meter,street,valet,1,kinds of parking
acre,bushel,foot,stone,2,imperial units
flood,lime,pilot,traffic,3,"words before ""light"""
clear,crisp,distinct,sharp,0,"well-defined, as an image"
cobbler,crumble,strudel,turnover,1,fruit desserts
fluff,fumble,miss,trip,2,bungle
ellen,spiny,timer,use,3,magazines plus a letter
bottle,can,cardboard box,newspaper,0,items to recycle
blanket,sham,sheet,throw,1,bedding
copy,crib,lift,pirate,2,plagiarize
cave,mobile,signal,suit,3,"batman's ""bat"" things"
lace,twist,weave,wind,0,intertwine
bumble,carpenter,honey,killer,1,kinds of bees
brooklyn,golden gate,rialto,tower,2,famous bridges
craven,desiree,needle,wanton,3,"starting with synonyms for ""hanker for"""
budding,fresh,naive,new,0,inexperienced
bundle,fortune,mint,wad,1,🤑
current,length,mass,time,2,measured by si units
fix,sand,silver,study,3,"words after ""quick"""
bill,feathers,webbing,wings,0,features of a duck
break,damage,total,wreck,1,destroy
author,quote,synopsis,title,2,found on a book jacket
cooper,grant,peck,price,3,classic hollywood actors
blanket,coat,cover,plaster,0,spread over
cast,hurl,pelt,sling,1,throw
inks,kins,sink,skin,2,anagrams
capture,hide,red,simon,3,first words of kids' games
derby,fedora,panama,porkpie,0,kinds of hats
bath,brushing,pajamas,story,1,components of a kid’s bedtime routine
alabama,bananarama,kansas,santana,2,"musical acts with ""a"" as the only vowel"
bahama,canyon,slam,piano,3,grand ___
hose,rake,shovel,spade,0,gardening tools
frozen,static,stationary,still,1,unmoving
